"...1","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43"
"","","Population","Population","Population","Population","Répartition par âge en %","Répartition par âge en %","Répartition par âge en %","Mouvement de la population (en ‰)","Mouvement de la population (en ‰)","Mouvement de la population (en ‰)","Mouvement de la population (en ‰)","Ménage","Ménage","Surface","Surface","Surface","Surface","Surface","Surface","Surface","Economie 2)","Economie 2)","Economie 2)","Economie 2)","Economie 2)","Economie 2)","Economie 2)","Economie 2)","Constructions et logements","Constructions et logements","Protection sociale","Partis politiques en % (élections au Conseil national)","Partis politiques en % (élections au Conseil national)","Partis politiques en % (élections au Conseil national)","Partis politiques en % (élections au Conseil national)","Partis politiques en % (élections au Conseil national)","Partis politiques en % (élections au Conseil national)","Partis politiques en % (élections au Conseil national)","Partis politiques en % (élections au Conseil national)","Partis politiques en % (élections au Conseil national)","Partis politiques en % (élections au Conseil national)"
"","","2017","2010-2017","2017","2017","2017","2017","2017","2017","2017","2017","2017","2017","2017","2004/09","2004/09","1979/85-2004/09","2004/09","1979/85-2004/09","2004/09","2004/09","2016p","2016p","2016p","2016p","2016p","2016p","2016p","2016p","2018","2016","2017","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015"
"Code commune","Commune","Habitants","Variation en %","Densité de la population par km²","Etrangers en %","0-19 ans","20-64 ans","65 ans ou plus","Taux brut de nuptialité","Taux brut de divortialité","Taux brut de natalité","Taux brut de mortalité","Ménages privés","Taille moyenne des ménages en personnes","Surface totale en km²","Surfaces d'habitat et d'infrastructure en %","Variation en ha","Surface agricole en %","Variation en ha","Surface boisée en %","Surface improductive en %","Emplois total","Secteur primaire","Secteur secondaire","Secteur tertiaire","Etablissements total","Secteur primaire","Secteur secondaire","Secteur tertiaire","Taux de logements vacants","Nouveaux logements construits pour 1000 habitants","Taux d'aide sociale","PLR 3)","PDC","PS","UDC","PEV/PCS","PVL","PBD","PST/Sol.","PES","Petits partis de droite"
"1136","Menznau","2902","1.86030186","95.64930784","10.30323915","23.70778773","60.30323915","15.98897312","5.173305742","1.379548198","8.277289188","6.207966891","1122","2.547237077","30.38","6.227347611","52","58.58319605","-32","34.26688633","0.922570017","1528","315","655","558","261","111","37","113","2","20.80443828","1.794960304","24.2083583627","37.046254183499997","2.6516776796000001","30.455676649800001","0.41191109590000002","1.8021110443999999","0.76375182360000005","*","1.9737406676","8.5814811599999999E-2"
"1137","Nebikon","2645","13.71453138","709.1152815","28.50661626","23.32703214","63.74291115","12.93005671","4.575786463","1.525262154","11.43946616","7.244995234","1049","2.497616778","3.73","23.86058981","22","35.12064343","-25","39.9463807","1.072386059","1120","36","435","649","153","12","28","113","0.798580302","5.847953216","2","41.031809676599998","22.373696872499998","4.7447206628999998","25.2071638599","0.13365410320000001","3.4616412724000001","0.60144346429999995","*","2.1651964714999998","2.67308206E-2"
"1139","Pfaffnau","2668","21.21762835","150.9049774","15.29235382","20.2023988","64.3928036","15.4047976","3.00695358","3.00695358","12.40368352","8.269122345","1117","2.344673232","17.66","9.743589744","38","65.01424501","-37","24.5014245","0.740740741","1559","173","164","1222","209","70","33","106","1.368821293","8.303677343","1.1307953260000001","14.202898550700001","32.8590250329","6.9301712780000004","32.529644268799998","1.2384716733000001","3.7417654808999998","2.8326745718000002","*","5.0065876153","0.14492753620000001"
"1140","Reiden","7038","8.177067323","260.3773585","25.13498153","20.53140097","63.44131856","16.02728048","3.986900185","1.708671508","11.39114339","9.967250463","2957","2.349678728","27","11.36616068","77","51.05516475","-69","36.98630137","0.592373195","3805","203","1590","2012","483","75","96","312","4.14732281","5.733944954","1.983447489","21.008708272900002","25.933029234900001","8.8067592784999995","32.889280530800001","0.8811942774","4.8932199876000002","1.5809662036000001","*","3.1982168775000002","0.1399543852"
"1142","Roggliswil","688","9.206349206","110.7890499","7.703488372","21.22093023","65.26162791","13.51744186","2.919708029","0","4.379562044","11.67883212","274","2.45620438","6.22","6.260032103","10","66.13162119","-10","27.12680578","0.481540931","296","80","103","113","86","34","13","39","1.26984127","13.61573374","0.87976539600000003","23.024468511799999","29.7633373446","5.7360609706999997","32.3305254713","0","3.2892097873999999","3.1287605295000001","*","2.4869634978000001","0"
"1143","Schötz","4396","16.63571239","287.8847413","18.56232939","24.49954504","63.19381256","12.3066424","4.383940932","1.3844024","13.1518228","5.999077065","1745","2.48252149","15.32","10.78622482","45","67.57634828","-46","19.94801819","1.689408707","1732","182","599","951","295","65","66","164","1.387406617","15.77060932","1.6619850190000001","17.0355039007","33.8799554211","5.9863079128000001","35.281006209200001","0.41394682379999997","3.4469033592999998","0.77217003660000005","*","2.7065753860999999","9.5526190100000005E-2"
"1145","Ufhusen","903","6.485849057","73.95577396","5.53709856","22.03765227","61.46179402","16.50055371","3.344481605","0","15.60758083","6.688963211","336","2.630952381","12.19","5.469387755","20","73.30612245","-20","20.97959184","0.244897959","323","153","66","104","110","62","20","28","1.566579635","21.30044843","1.0101010100000001","9.4428706327","42.146679257199999","2.3921938936","39.471199244600001","0.283286119","2.990242367","1.7311929493","*","0.7554296506","0.1888574127"
"1146","Wauwil","2177","25.69284065","735.472973","23.88608176","20.16536518","65.54892053","14.28571429","6.501044811","2.786162062","13.00208962","8.358486185","862","2.497679814","2.94","21.08843537","10","68.36734694","-8","10.54421769","0","679","213","177","289","125","19","27","79","1.14822547","10.11122346","1.9248826290000001","19.339957416600001","29.843860894300001","8.6231369765999997","30.500354861600002","0.69198012779999996","4.6841731725000004","1.6501064585","*","4.2228530872999999","5.3229240599999998E-2"
"1147","Wikon","1525","11.72161172","184.178744","17.96721311","22.49180328","59.54098361","17.96721311","5.278785879","1.31969647","12.53711646","9.897723524","621","2.410628019","8.29","9.661835749","16","38.76811594","-10","51.44927536","0.120772947","824","46","392","386","102","15","14","73","0.592592593","3.385240352","2.5896414339999998","18.771248178699999","16.610004856700002","12.943176299199999","38.999514327299998","1.4813016027000001","6.0951918407000001","1.4327343371000001","*","2.6226323458","9.7134531299999993E-2"
"1150","Zell (LU)","2004","1.984732824","144.0690151","11.9261477","22.90419162","60.17964072","16.91616766","4.964010921","1.985604368","4.467609829","5.460412013","775","2.545806452","13.89","10.30259366","30","67.21902017","-29","21.61383285","0.864553314","1522","160","700","662","203","61","41","101","0.647948164","11.01652479","2.4691358029999999","21.233902365999999","31.910751722099999","5.2261156035000003","33.812518718200003","0.26954177899999998","1.9317160826999999","1.6022761306","*","3.0548068283999998","0.1197963462"
"1151","Willisau","7825","8.154803041","190.0655817","11.74440895","21.53354633","59.94888179","18.51757189","4.1020382","0.897320856","13.58800154","8.075887707","3218","2.400248602","41.17","7.989315202","84","63.52598349","-68","27.6590578","0.825643516","4901","476","1112","3313","734","179","97","458","1.868377022","2.735799896","2.27594188","19.701417163799999","31.610011678199999","9.9075213837000007","27.9266483603","0.60284695259999999","3.4782059780000001","0.69437868889999999","*","5.5045292428000003","7.8906669200000001E-2"
"1201","Altdorf (UR)","9273","4.649588083","908.2272282","14.81721126","19.20629785","60.34724469","20.44645746","5.734689461","0.973815192","8.43973166","11.14477386","4042","2.227857496","10.19","24.53567937","26","34.21309873","-29","39.29618768","1.955034213","6826","106","1844","4876","819","43","97","679","1.198117244","2.499185048","1.4982086640000001","*","20.4720087816","*","36.306256860600001","*","*","*","*","40.0933040615","*"
"1202","Andermatt","1354","3.834355828","21.74751044","22.59970458","14.99261448","62.03840473","22.9689808","6.644518272","4.429678848","8.121077889","10.33591731","674","1.977744807","62.19","1.544401544","17","40.34749035","-82","6.016731017","52.09137709","1126","39","139","948","154","17","17","120","0.968858132","9.372746936","X","*","68.133802816900001","*","21.830985915500001","*","*","*","*","9.5070422534999999","*"
"1203","Attinghausen","1711","8.359721343","36.48965664","6.428988895","25.24839275","58.50379895","16.2478083","1.785182981","1.190121988","13.68640286","4.165426956","650","2.6","46.9","1.66595472","18","34.42973088","-35","18.56044425","45.34387014","393","105","112","176","97","38","17","42","0.644329897","12.93900185","X","*","35.435435435400002","*","42.3423423423","*","*","*","*","19.069069069099999","*"
"1204","Bauen","168","-8.695652174","44.21052632","11.30952381","12.5","66.66666667","20.83333333","0","0","6.024096386","6.024096386","83","2.012048193","3.83","5.013192612","7","12.40105541","-7","73.35092348","9.234828496","39","9","11","19","10","X","X","5","2.479338843","0","X","*","30.434782608700001","*","40.579710144899998","*","*","*","*","27.536231884100001","*"
"1205","Bürglen (UR)","3982","0.352822581","75.04711647","6.027122049","22.07433451","59.59316926","18.33249623","4.248406847","0.749718855","10.99587655","9.746345121","1589","2.463813719","53.09","2.446828534","40","53.37850555","-62","20.47807265","23.69659326","1864","234","587","1043","289","102","53","134","3.557951483","8.763144717","1.119124596","*","23.913043478300001","*","50.057208238000001","*","*","*","*","23.855835240299999","*"
"1206","Erstfeld","3781","0.934329952","63.98713826","20.25919069","19.41285374","57.70960063","22.87754562","3.710575139","1.060164326","8.481314604","10.60164325","1618","2.291100124","59.05","3.733108108","51","10.50675676","-61","30.91216216","54.84797297","1496","106","432","958","213","37","34","142","0.632244468","3.709591945","3.2403718459999999","*","25.449101796400001","*","41.467065868299997","*","*","*","*","30.688622754499999","*"
"1207","Flüelen","1975","1.282051282","159.5315024","13.72151899","20.15189873","60.50632911","19.34177215","8.549157657","2.514458134","9.052049283","9.052049283","846","2.307328605","12.4","6.360708535","14","23.91304348","-10","58.13204509","11.5942029","903","40","256","607","132","13","24","95","2.589641434","1.014198783","1.3486513490000001","*","15.8092848181","*","49.435382685100002","*","*","*","*","29.360100376399998","*"
"1208","Göschenen","462","12.68292683","4.435909746","25.54112554","14.06926407","61.03896104","24.89177489","2.192982456","4.385964912","6.578947368","8.771929825","199","2.125628141","104.13","0.825811408","-10","6.472056847","-82","12.87689649","79.82523526","209","25","79","105","45","9","7","29","1.27388535","9.132420091","X","*","54.237288135599997","*","28.813559322","*","*","*","*","12.429378531099999","*"
"1209","Gurtnellen","558","-5.583756345","6.697875405","10.5734767","18.10035842","56.81003584","25.08960573","1.78412132","0","8.920606601","16.05709188","242","2.305785124","83.41","1.307738452","5","11.57768446","-143","28.84223155","58.27234553","225","67","81","77","64","32","8","24","0.961538462","0","X","*","52.403846153800004","*","29.807692307700002","*","*","*","*","15.8653846154","*"
"1210","Hospental","191","7.90960452","5.432309443","14.65968586","11.51832461","65.44502618","23.03664921","0","0","5.277044855","5.277044855","90","2.111111111","35.13","1.37260509","6","30.4260795","-93","10.98084072","57.22047469","43","11","X","29","21","X","X","15","4.705882353","0","X","*","48.192771084299999","*","37.349397590400002","*","*","*","*","14.457831325300001","*"
"1211","Isenthal","494","-5.72519084","8.102345416","1.619433198","23.27935223","59.91902834","16.80161943","8.024072217","0","14.04212638","12.03610833","174","2.827586207","60.96","0.787014265","17","28.03738318","-32","27.135596","44.04000656","172","109","23","40","70","43","12","15","1.672240803","1.953125","X","*","53.5","*","28","*","*","*","*","17","*"
"1212","Realp","151","4.861111111","1.938880329","11.9205298","6.622516556","60.26490066","33.11258278","6.756756757","0","6.756756757","20.27027027","80","1.8875","77.81","0.795279631","17","38.71216008","-127","3.091328887","57.4012314","54","X","X","50","19","X","X","17","1.724137931","0","X","*","54.929577464799998","*","36.619718309900001","*","*","*","*","7.0422535211000001","*"
"1213","Schattdorf","5382","9.101966349","329.5774648","9.494611669","20.17837235","60.12634708","19.69528056","4.703668862","0.752587018","9.971777987","8.84289746","2169","2.435223605","16.29","13.03011678","45","32.32944069","-35","40.87277197","13.76767056","2770","115","1079","1576","275","42","55","178","1.071428571","25.39178734","1.6577743899999999","*","18.967052537800001","*","56.5449688335","*","*","*","*","22.083704363300001","*"
"1214","Seedorf (UR)","1804","3.55912744","116.5374677","6.374722838","27.10643016","58.03769401","14.85587583","3.891050584","1.111728738","10.56142301","9.449694275","678","2.643067847","15.48","5.627425615","23","17.33505821","-26","42.49676585","34.54075032","631","28","304","299","108","13","28","67","1.804123711","1.660210293","0.445930881","*","24.324324324300001","*","46.9416785206","*","*","*","*","25.4623044097","*"
"1215","Seelisberg","679","2.567975831","51.0910459","14.5802651","16.49484536","58.32106038","25.18409426","5.873715125","5.873715125","4.405286344","13.21585903","282","2.237588652","13.19","4.679245283","14","32.67924528","-18","51.24528302","11.39622642","236","60","47","129","74","27","15","32","0.996015936","4.360465116","0.87847730599999996","*","34.634146341499999","*","45.365853658500001","*","*","*","*","17.5609756098","*"
"1216","Silenen","1991","-11.11607143","13.75189943","7.885484681","19.58814666","59.66850829","20.74334505","2.477700694","0","11.89296333","10.90188305","779","2.492939666","144.75","0.891130146","42","12.92484112","-297","20.31638574","65.867643","445","118","138","189","132","47","18","67","0.189393939","2.84629981","0.880195599","*","32.222222222200003","*","44.583333333299997","*","*","*","*","20","*"
"1217","Sisikon","364","-7.37913486","22.11421628","18.95604396","22.25274725","61.26373626","16.48351648","2.713704206","5.427408413","10.85481683","10.85481683","159","2.270440252","16.44","1.289134438","2","33.76304481","-5","46.6543892","18.29343155","93","25","11","57","32","9","5","18","3.5","0","2.6809651479999999","*","11.214953271000001","*","63.551401869199999","*","*","*","*","25.233644859799998","*"
"1218","Spiringen","843","-4.09556314","13.03339518","1.660735469","22.06405694","59.43060498","18.50533808","7.155635063","3.577817531","7.155635063","8.348240906","324","2.574074074","64.73","1.266604881","22","37.87457522","-97","18.92184121","41.93697868","292","160","44","88","107","66","7","34","0.631911532","3.546099291","X","*","33.333333333299997","*","54.371584699499998","*","*","*","*","10.6557377049","*"
"1219","Unterschächen","714","1.854493581","8.89387145","1.260504202","25.07002801","58.82352941","16.10644258","2.808988764","0","21.06741573","2.808988764","263","2.714828897","80.23","0.785046729","19","38.65420561","-93","11.3271028","49.23364486","203","110","13","80","72","40","9","23","0","14.36781609","X","*","27.855153203299999","*","63.788300835699999","*","*","*","*","6.9637883008000001","*"
"1220","Wassen","422","-2.764976959","4.355904211","18.95734597","17.77251185","55.68720379","26.54028436","2.317497103","0","4.634994206","13.90498262","177","2.254237288","96.91","1.144329897","5","11.5257732","-186","22.77319588","64.55670103","242","32","24","186","48","13","X","32","3.539823009","0","1.360544218","*","45.161290322600003","*","38.709677419400002","*","*","*","*","14.5161290323","*"
"1301","Einsiedeln","15550","8.098713938","157.1818457","15.64630225","20.34726688","61.77491961","17.8778135","4.076218822","1.488143379","9.575879137","8.087735758","6565","2.326884996","99.02","5.865132243","140","47.11286089","-197","44.17524732","2.84675954","6837","509","1906","4422","1318","202","247","869","1.759606676","13.13258606","1.458238396","18.043368207899999","25.282652716800001","13.5884238947","38.710766115399998","*","3.1893351333000002","*","*","1.1854539317999999","*"
"1311","Gersau","2279","8.834765998","158.815331","23.51908732","16.0596753","62.39578763","21.54453708","4.406256885","3.525005508","8.81251377","8.81251377","1072","2.089552239","14.35","6.685236769","19","39.62395543","-24","51.60167131","2.08913649","655","116","112","427","201","39","30","132","1.389808074","9.821428571","1.1061946899999999","26.368159204000001","26.309628328900001","10.506292069100001","33.479660520899998","*","1.2584138133","*","*","2.0778460638","*"
"1321","Feusisberg","5272","10.45464069","301.2571429","26.38467375","17.84901366","65.80045524","16.35053111","4.94813969","2.28375678","8.75440099","5.32876582","2293","2.263846489","17.49","10.92677346","60","47.36842105","-55","40.2173913","1.487414188","3493","153","700","2640","867","65","128","674","2.966772152","6.024096386","0.84017567299999996","27.418181818200001","13.716363636400001","9.3672727272999996","44.96","*","3.4472727273000001","*","*","1.0909090909000001","*"
"1322","Freienbach","16269","3.975202914","1178.913043","28.2193128","17.43807241","64.04204315","18.51988444","5.23640844","2.156168181","8.871091945","5.729246881","7196","2.226097832","13.84","33.33333333","96","38.5620915","-89","23.67465505","4.429920116","14351","116","2566","11669","2518","39","287","2192","1.001926782","5.237887385","1.358360089","23.568633135199999","14.4900227086","13.813596173400001","43.141518094399999","*","3.6430400541000001","*","*","1.3431898342999999","*"
"1323","Wollerau","7101","2.674956622","1127.142857","23.51781439","17.02577102","62.99112801","19.98310097","6.195874111","2.253045131","9.012180525","5.632612828","3063","2.289911851","6.37","30.59936909","64","53.31230284","-58","13.88012618","2.208201893","4119","81","757","3281","1119","22","131","966","2.84951024","4.114642452","1.3939735289999999","29.102107593100001","13.9736310269","9.9412953516999991","42.469444711800001","*","3.2143200847000002","*","*","1.2992012317999999","*"
"1331","Küssnacht (SZ)","12845","5.080170157","437.3510385","22.36667964","19.283768","62.36667964","18.34955236","5.047915763","1.735221044","8.597231534","6.467642071","5583","2.247358051","29.47","16.53650255","122","55.75551783","-112","26.41765705","1.290322581","6974","302","2783","3889","1127","112","188","827","2.037243355","4.427271996","1.6144501280000001","32.936806976","20.637312950799998","10.996878027799999","29.9332543869","*","3.7517493810000002","*","*","1.7439982775","*"
"1341","Altendorf","6926","14.74486415","339.3434591","21.20993358","18.75541438","65.60785446","15.63673116","6.939926263","1.445817972","8.819489626","5.0603629","2968","2.299191375","20.48","10.56234719","58","51.29584352","-41","37.55501222","0.586797066","3935","217","906","2812","777","76","139","562","1.70212766","17.79359431","0.82524974699999998","18.921279615700001","17.185282236100001","11.2785238563","48.291298176700003","*","2.7623102958999999","*","*","1.5613058194","*"
"1342","Galgenen","5231","12.44625967","394.1974378","20.34027911","21.18141847","63.18103613","15.6375454","5.752636625","3.451581975","11.3135187","5.944391179","2162","2.397317299","13.22","10.70889894","29","50.30165913","-18","37.85822021","1.13122172","1278","174","270","834","383","69","69","245","0.20894275","0","1.634929794","17.796610169499999","12.7889060092","13.728813559300001","51.787365177200002","*","2.8659476116999998","*","*","1.032357473","*"
"1343","Innerthal","177","-11.05527638","3.530115676","3.95480226","19.7740113","57.62711864","22.59887006","0","5.405405405","0","27.02702703","76","2.302631579","50.18","0.637704265","2","33.51933041","-23","34.27660422","31.5663611","49","14","X","35","16","6","X","10","0","0","X","10.597826087","35.869565217400002","5.7065217391000003","44.293478260900002","*","2.1739130434999998","*","*","1.3586956522","*"
"1344","Lachen","8617","9.770700637","3546.090535","30.57908785","18.26621794","62.89892074","18.83486132","6.621747212","1.742565056","9.06133829","8.945167286","3903","2.175506021","2.41","66.25","21","23.33333333","-21","6.25","4.166666667","5047","8","1229","3810","812","X","108","700","0.562851782","2.004716981","1.500174439","20.4697986577","15.515199368299999","20.252664824299998","38.758389261700003","*","3.5234899329","*","*","1.4804579550000001","*"
"1345","Reichenburg","3633","15.92214422","314.5454545","22.90118359","21.08450317","65.59317369","13.32232315","5.278510904","1.944714544","11.94610363","7.223225448","1485","2.41952862","11.54","8.886971527","22","55.39257981","-17","34.16738568","1.553062985","1185","118","486","581","275","33","65","177","2.770935961","25.74605032","1.121704992","16.2545079856","13.626996393600001","16.099948480199998","49.793920659500003","*","2.9108706851999999","*","*","1.3137557959999999","*"
"1346","Schübelbach","9167","8.395412085","315.9944847","29.01712665","20.70470165","65.68124795","13.6140504","5.48245614","1.535087719","12.5","6.140350877","3813","2.375295043","29.04","7.162534435","54","47.38292011","-44","42.8030303","2.651515152","2803","177","944","1682","627","73","137","417","0.496453901","13.08784383","2.7333847680000001","13.499492500300001","16.939212811499999","14.852825081800001","50.907860606699998","*","2.6277207624000001","*","*","1.1728882373","*"
"1347","Tuggen","3317","11.30872483","245.7037037","16.21947543","20.01808863","65.42056075","14.56135062","3.355704698","2.135448444","11.28737035","4.881025015","1395","2.361290323","13.56","13.50553506","46","60.95940959","-46","21.77121771","3.763837638","1477","116","459","902","253","43","46","164","2.992843201","12.13441195","1.543686323","17.9569626515","14.2963146179","9.9183774425000006","55.058125154599999","*","1.7313875835000001","*","*","1.0388325501","*"
"1348","Vorderthal","1025","0","36.64640686","9.268292683","16.58536585","65.56097561","17.85365854","8.819206271","5.879470848","4.89955904","3.919647232","459","2.198257081","27.95","2.074391989","13","35.83690987","-2","59.12017167","2.968526466","250","97","86","67","96","43","20","33","2.355072464","2.958579882","X","10.1644245142","11.6591928251","9.1180866966000007","67.189835575499998","*","1.1210762331999999","*","*","0.74738415550000004","*"
"1349","Wangen (SZ)","5011","7.76344086","592.3167849","14.36838954","18.83855518","63.85950908","17.30193574","4.8","1.4","7.8","6.2","2132","2.30065666","8.43","25.56213018","53","59.8816568","-57","10.41420118","4.142011834","1683","100","567","1016","405","44","100","261","1.183932347","15.56101556","1.0222489480000001","14.9116064566","15.1268255188","18.800922367399998","47.440430438100002","*","2.4442736357000001","*","*","1.2759415834000001","*"
"1361","Alpthal","613","8.880994671","26.79195804","9.624796085","19.41272431","63.45840131","17.12887439","4.897959184","1.632653061","8.163265306","3.265306122","263","2.311787072","22.94","1.744439599","14","31.3126908","-61","63.89010031","3.052769298","182","46","29","107","62","19","10","33","1.534526854","8.37520938","X","10.1761252446","12.915851271999999","3.2289628179999998","72.798434442300007","*","0.68493150680000003","*","*","0.19569471620000001","*"
"1362","Arth","11877","11.0103748","282.6511185","27.64166035","20.33341753","63.65243748","16.01414499","5.759783161","1.524648484","11.35016094","6.183296629","4929","2.373503753","42","9.714964371","73","40.64133017","-56","44.56057007","5.083135392","4006","278","1198","2530","777","108","137","532","1.330532213","18.97042339","1.5764806140000001","20.5819779013","20.341774758100001","15.537711893499999","38.315832818600001","*","3.5618694667000002","*","*","1.6608331618000001","*"
"1363","Illgau","797","1.013941698","72.7189781","1.882057716","26.097867","61.48055207","12.42158093","3.771213074","0","17.59899434","5.028284098","288","2.753472222","10.97","3.473491773","9","62.34003656","-5","31.53564899","2.650822669","204","69","51","84","58","24","10","24","1.470588235","0","1.007556675","9.7834803527999998","24.859663191700001","4.5709703287999996","58.059342421799997","*","2.0048115477000001","*","*","0.72173215719999995","*"
"1364","Ingenbohl","8856","5.290690762","660.8955224","19.56865402","17.81842818","59.32700994","22.85456188","5.563756103","1.703190644","7.948223004","9.083683434","3790","2.22585752","13.44","18.04008909","47","28.58203415","-55","48.92353378","4.454342984","3494","81","706","2707","631","32","83","516","0.680580762","8.395629672","2.1580269470000002","20.260591283099998","25.723864675400002","15.368790003000001","34.318805242300002","*","2.3087473330999999","*","*","2.0192014629999999","*"
"1365","Lauerz","1081","2.464454976","117.6278564","9.528214616","24.42183164","61.51711378","14.06105458","3.724394786","0","9.310986965","6.517690875","428","2.523364486","9.17","4.220779221","11","44.6969697","-16","35.38961039","15.69264069","187","60","37","90","72","26","5","41","1.174168298","0","X","21.791370835599999","20.589841616600001","8.3560895684999998","46.641179683200001","*","1.3653741125000001","*","*","1.2561441835","*"
"1366","Morschach","1103","6.776379477","52.92706334","17.95104261","22.48413418","63.46328196","14.05258386","3.619909502","1.809954751","10.85972851","2.714932127","467","2.336188437","20.85","4.086538462","42","51.53846154","-36","37.11538462","7.259615385","737","74","45","618","122","34","19","69","0.974313552","5.338078292","1.535682024","13.714285714300001","20.126984127","13.714285714300001","46.730158730200003","*","3.2380952381000001","*","*","2.4761904762000002","*"
"1367","Muotathal","3515","-1.291771974","20.41942605","5.803698435","23.86913229","59.48790896","16.64295875","3.683763106","1.133465571","11.9013885","10.20119014","1377","2.509803922","172.16","1.004704106","35","33.24234857","-54","23.45083919","42.30210814","1481","288","637","556","296","107","66","123","0.913242009","7.716490426","1.185436071","12.951658142199999","20.920640158400001","5.3126546774000003","58.9506682066","*","1.2869163504000001","*","*","0.57746246489999997","*"
"1368","Oberiberg","888","9.359605911","26.77117878","11.03603604","16.21621622","55.18018018","28.6036036","3.384094755","2.25606317","12.40834743","12.40834743","433","2.011547344","33.17","2.131546894","20","50.12180268","-42","39.12911084","8.617539586","413","82","65","266","124","33","17","74","2.347826087","0","0.903954802","14.328004736500001","19.360568383699999","9.7098875073999995","55.062166962699997","*","1.5393724097000001","*","*","0","*"
"1369","Riemenstalden","88","1.149425287","7.857142857","3.409090909","38.63636364","39.77272727","21.59090909","0","0","11.36363636","0","31","2.838709677","11.18","0.626678603","1","50.85049239","-2","26.94717995","21.57564906","43","19","6","18","18","9","X","7","0","0","X","18.75","12.5","1.7857142856999999","66.071428571400006","*","0","*","*","0.89285714289999996","*"
"1370","Rothenthurm","2395","11.75921605","105.2747253","15.57411273","24.59290188","63.00626305","12.40083507","5.450733753","2.935010482","10.90146751","7.1278826","930","2.546236559","22.76","4.166666667","24","43.24561404","-31","48.55263158","4.035087719","841","121","300","420","202","46","40","116","1.347708895","12.16333623","0.67368421099999998","13.368983957199999","21.746880570399998","6.8924539513000003","56.8033273916","*","0.95068330359999997","*","*","0.23767082589999999","*"
"1371","Sattel","1946","9.26445817","111.9033928","12.07605344","22.4049332","64.59403905","13.00102775","4.648760331","3.099173554","13.94628099","7.231404959","797","2.409033877","17.35","6.759098787","33","56.3835933","-6","35.75967649","1.097631427","569","162","70","337","185","54","25","106","1.522359658","7.250129467","0.62305295999999999","18.258807588100002","22.120596205999998","7.4864498644999999","48.814363143599998","*","2.1002710027","*","*","1.2195121951000001","*"
"1372","Schwyz","15000","4.00055467","282.0609252","18.28","19.69333333","61.96666667","18.34","4.550777982","1.539233729","8.56617032","6.692320562","6314","2.327684511","53.09","9.306260575","85","47.39612709","-51","37.73265651","5.564955819","12379","454","3017","8908","1401","159","197","1045","0.687285223","5.183091007","1.26301646","19.888809931899999","24.181749780499999","16.536387576799999","35.664423358299999","*","1.9646365422000001","*","*","1.7639928103","*"
"1373","Steinen","3355","5.436832181","283.1223629","8.70342772","22.77198212","61.10283159","16.12518629","2.979293907","2.383435126","8.04409355","6.852375987","1345","2.471375465","11.83","11.30801688","35","52.15189873","-30","21.43459916","15.10548523","1229","162","400","667","264","58","54","152","2.308707124","12.98309179","0.47647409200000002","19.428902180200001","22.573798958099999","12.5602932664","39.571676635199999","*","3.5886552190000001","*","*","2.2766737411000002","*"
"1374","Steinerberg","954","10.41666667","137.8612717","9.64360587","23.48008386","60.37735849","16.14255765","1.069518717","2.139037433","10.69518717","7.486631016","376","2.494680851","6.96","6.213872832","13","64.45086705","12","28.75722543","0.578034682","346","99","53","194","81","36","15","30","0.717703349","8.695652174","X","17.686617350399999","15.6691324815","6.2542030935000001","57.296570275699999","*","2.5554808338999999","*","*","0.53799596500000002","*"
"1375","Unteriberg","2413","4.685466377","51.97070859","9.40737671","19.76792375","63.53087443","16.70120182","2.930096275","0.837170364","10.88321473","8.790288824","1045","2.284210526","46.49","3.815648446","75","42.40085745","-99","36.07717042","17.70632369","862","141","265","456","238","53","57","128","3.781818182","9.012875537","1.057082452","8.5252909048000003","12.8473046782","3.5146046069999999","73.023034908599996","*","1.5673236761","*","*","0.52244122540000004","*"
"1401","Alpnach","6024","8.189655172","112.0119003","15.47144754","20.83333333","64.07702523","15.08964143","6.821395891","0.831877548","10.4816571","6.655020381","2501","2.379448221","53.83","5.262179249","51","31.79620677","-88","54.14652287","8.795091112","3114","189","1152","1773","506","78","89","339","0.537441777","12.35612729","1.3006503250000001","*","*","*","37.242327072800002","*","*","*","*","*","*"
"1402","Engelberg","4155","6.456571868","55.4961934","25.89651023","16.84717208","61.01083032","22.14199759","2.895403547","0.965134516","8.92749427","7.962359754","1963","2.075904228","74.89","3.66506153","62","27.1000535","-104","25.77581594","43.45906902","2519","165","270","2084","509","58","55","396","1.310043668","10.98364657","1.644895985","*","*","*","46.475924633600002","*","*","*","*","*","*"
"1403","Giswil","3651","1.051757542","42.49796298","10.84634347","20.59709669","63.16077787","16.24212545","4.394397144","1.647898929","9.887393573","7.690195001","1499","2.414276184","85.9","2.60646963","56","35.39678846","-136","53.30463114","8.692110775","1388","276","415","697","340","104","71","165","0.516795866","8.08700502","1.404571743","*","*","*","36.968838526900001","*","*","*","*","*","*"
