Ortschaftsname;PLZ;Gemeindename;Kantonskürzel
Chavannes-près-Renens;1022;Chavannes-près-Renens;VD
Chavannes-sous-Orsonnens;1694;Villorsonnens;FR
Chavannes-sur-Moudon;1512;Chavannes-sur-Moudon;VD
Chavornay;1373;Chavornay;VD
Cheiry;1529;Cheiry;FR
Chemin;1927;Vollèges;VS
Chenaux;1091;Bourg-en-Lavaux;VD
Chermignon;3971;Chermignon;VS
Chermignon-d'en-Bas;3971;Chermignon;VS
Chernex;1822;Montreux;VD
Chesalles-sur-Moudon;1683;Chesalles-sur-Moudon;VD
Chesalles-sur-Oron;1608;Oron;VD
Cheseaux-Noréaz;1400;Cheseaux-Noréaz;VD
Cheseaux-sur-Lausanne;1033;Cheseaux-sur-Lausanne;VD
Chesières;1885;Ollon;VD
Chessel;1846;Chessel;VD
Chevenez;2906;Haute-Ajoie;JU
Chevilly;1316;Chevilly;VD
Chevroux;1545;Chevroux;VD
Chexbres;1071;Chexbres;VD
Cheyres;1468;Cheyres;FR
Chez Petit (Liddes);1945;Liddes;VS
Chez-le-Bart;2025;Gorgier;NE
Chiasso;6830;Chiasso;TI
Chiggiogna;6764;Faido;TI
Chiggiogna;6764;Faido;TI
Chigny;1134;Chigny;VD
Chippis;3965;Chippis;VS
Chironico;6747;Faido;TI
Choulex;1244;Choulex;GE
Choëx;1871;Monthey;VS
Chur;7000;Chur;GR
Churwalden;7075;Churwalden;GR
Châbles FR;1474;Châbles;FR
Château-d'Oex;1660;Château-d'Oex;VD
Châtel-St-Denis;1618;Châtel-Saint-Denis;FR
Châtel-sur-Montsalvens;1653;Châtel-sur-Montsalvens;FR
Châtelaine;1219;Vernier;GE
Châtelat;2715;Petit-Val;BE
Châtillens;1610;Oron;VD
Châtillon FR;1473;Châtillon (FR);FR
Châtillon JU;2843;Châtillon (JU);JU
Châtonnaye;1553;Châtonnaye;FR
Chénens;1744;Chénens;FR
Chéserex;1275;Chéserex;VD
Chésopelloz;1720;Chésopelloz;FR
Chézard-St-Martin;2054;Val-de-Ruz;NE
Chêne-Bougeries;1224;Chêne-Bougeries;GE
Chêne-Bougeries;1224;Thônex;GE
Chêne-Bourg;1225;Chêne-Bourg;GE
Chêne-Pâquier;1464;Chêne-Pâquier;VD
Cimadera;6959;Lugano;TI
Cimalmotto;6684;Campo (Vallemaggia);TI
Cimo;6992;Bioggio;TI
Cinuos-chel;7526;S-chanf;GR
Clarens;1815;Montreux;VD
Clarmont;1127;Clarmont;VD
Claro;6702;Claro;TI
Clavaleyres;1595;Clavaleyres;BE
Clugin;7442;Andeer;GR
Clèbes (Nendaz);1993;Nendaz;VS
Coeuve;2932;Coeuve;JU
Coffrane;2207;Val-de-Ruz;NE
Coglio;6678;Maggia;TI
Coinsins;1267;Coinsins;VD
Cointrin;1216;Meyrin;GE
Coldrerio;6877;Coldrerio;TI
Colla;6951;Lugano;TI
Collex;1239;Collex-Bossy;GE
Collombey;1868;Collombey-Muraz;VS
Collonge-Bellerive;1245;Collonge-Bellerive;GE
Collonges;1903;Collonges;VS
Cologny;1223;Cologny;GE
Colombier NE;2013;Milvignes;NE
Colombier VD;1114;Echichens;VD
Comano;6949;Comano;TI
Combremont-le-Grand;1535;Valbroye;VD
Combremont-le-Petit;1536;Valbroye;VD
Commugny;1291;Commugny;VD
Comologno;6663;Onsernone;TI
Conches;1231;Chêne-Bougeries;GE
Concise;1426;Concise;VD
Condémines (Nendaz);1996;Nendaz;VS
Confignon;1232;Confignon;GE
Constantine;1587;Vully-les-Lacs;VD
Conters im Prättigau;7241;Conters im Prättigau;GR
Conthey;1964;Conthey;VS
Contone;6594;Gambarogno;TI
Contra;6646;Tenero-Contra;TI
Coppet;1296;Coppet;VD
Corban;2826;Corban;JU
Corbeyrier;1856;Corbeyrier;VD
Corbières;1647;Corbières;FR
Corcelles BE;2747;Corcelles (BE);BE
Corcelles NE;2035;Corcelles-Cormondrèche;NE
Corcelles-le-Jorat;1082;Corcelles-le-Jorat;VD
Corcelles-près-Concise;1426;Corcelles-près-Concise;VD
Corcelles-près-Payerne;1562;Corcelles-près-Payerne;VD
Corcelles-sur-Chavornay;1374;Corcelles-sur-Chavornay;VD
Cordast;1792;Gurmels;FR
Corgémont;2606;Corgémont;BE
Corin-de-la-Crête;3960;Montana;VS
Corippo;6631;Corippo;TI
Corjolens;1754;Avry;FR
Cormagens;1782;La Sonnaz;FR
Corminboeuf;1720;Corminboeuf;FR
Cormondrèche;2036;Corcelles-Cormondrèche;NE
Cormoret;2612;Cormoret;BE
Cormérod;1721;Misery-Courtion;FR
Cornaux NE;2087;Cornaux;NE
Cornol;2952;Cornol;JU
Corpataux-Magnedens;1727;Corpataux-Magnedens;FR
Correvon;1410;Montanaire;VD
Corseaux;1802;Corseaux;VD
Corserey;1747;Corserey;FR
Corsier GE;1246;Corsier (GE);GE
Corsier-sur-Vevey;1804;Corsier-sur-Vevey;VD
Cortaillod;2016;Cortaillod;NE
Corteglia;6873;Castel San Pietro;TI
Corticiasca;6958;Capriasca;TI
Corticiasca;6958;Capriasca;TI
Cortébert;2607;Cortébert;BE
Corzoneso;6722;Acquarossa;TI
Cossonay-Ville;1304;Cossonay;VD
Cottens FR;1741;Cottens (FR);FR
Cottens VD;1116;Cottens (VD);VD
Cotterd;1585;Vully-les-Lacs;VD
Courcelon;2823;Courroux;JU
Courchapoix;2825;Courchapoix;JU
Courchavon;2922;Courchavon;JU
Courfaivre;2853;Haute-Sorne;JU
Courgenay;2950;Courgenay;JU
Courgevaux;1796;Courgevaux;FR
Courlevon;1795;Courlevon;FR
Cournillens;1721;Misery-Courtion;FR
Courrendlin;2830;Courrendlin;JU
Courroux;2822;Courroux;JU
Court;2738;Court;BE
Courtaman;1791;Courtepin;FR
Courtedoux;2905;Courtedoux;JU
Courtelary;2608;Courtelary;BE
Courtemautruy;2950;Courgenay;JU
Courtemaîche;2923;Basse-Allaine;JU
Courtepin;1784;Courtepin;FR
Courtion;1721;Misery-Courtion;FR
Courtételle;2852;Courtételle;JU
Cousset;1774;Montagny (FR);FR
Cousset;1774;Montagny (FR);FR
Couvet;2108;Val-de-Travers;NE
Cozzo;6951;Lugano;TI
Crana;6611;Onsernone;TI
Crans-Montana;3963;Montana;VS
Crans-près-Céligny;1299;Bogis-Bossey;VD
Crans-près-Céligny;1299;Crans-près-Céligny;VD
Crassier;1263;Crassier;VD
Cremin;1526;Cremin;VD
Cresciano;6705;Cresciano;TI
Cressier FR;1785;Cressier (FR);FR
Cressier NE;2088;Cressier (NE);NE
Cresta (Avers);7447;Avers;GR
Cries (Vollèges);1941;Vollèges;VS
Crissier;1023;Crissier;VD
Cronay;1406;Cronay;VD
Croy;1322;Croy;VD
Crusch;7554;Scuol;GR
Crémines;2746;Crémines;BE
Crésuz;1653;Crésuz;FR
Crête-à-l'Oeil (Les Agettes);1992;Les Agettes;VS
Cuarnens;1148;Cuarnens;VD
Cuarny;1404;Cuarny;VD
Cudrefin;1588;Cudrefin;VD
Cugnasco;6516;Cugnasco-Gerra;TI
Cugy FR;1482;Cugy (FR);FR
Cugy VD;1053;Cugy (VD);VD
Cully;1096;Bourg-en-Lavaux;VD
Cumbel;7142;Lumnezia;GR
Cumpadials;7176;Sumvitg;GR
Cunter;7452;Cunter;GR
Curaglia;7184;Medel (Lucmagn);GR
Cureggia;6963;Lugano;TI
Cureglia;6944;Cureglia;TI
Curio;6986;Curio;TI
Curtilles;1521;Curtilles;VD
Curtina;6959;Lugano;TI
Céligny;1298;Céligny;GE
Céligny;1298;Céligny;GE
Dachsen;8447;Dachsen;ZH
Dagmersellen;6252;Dagmersellen;LU
Daillens;1306;Daillens;VD
Daillon;1976;Conthey;VS
Daiwil;6126;Willisau;LU
Dalin;7424;Cazis;GR
Dallenwil;6383;Dallenwil;NW
Dalpe;6774;Dalpe;TI
Damphreux;2933;Damphreux;JU
Damvant;2914;Haute-Ajoie;JU
Dangio;6717;Blenio;TI
Danis;7163;Breil/Brigels;GR
Dardagny;1283;Dardagny;GE
Dardin;7164;Breil/Brigels;GR
Davesco-Soragno;6964;Lugano;TI
Davos Clavadel;7272;Davos;GR
Davos Dorf;7260;Davos;GR
Davos Frauenkirch;7276;Davos;GR
Davos Glaris;7277;Davos;GR
Davos Monstein;7278;Davos;GR
Davos Platz;7270;Davos;GR
Davos Wiesen;7494;Davos;GR
Davos Wolfgang;7265;Davos;GR
Degen;7145;Lumnezia;GR
Degersheim;9113;Degersheim;SG
Deisswil b. Münchenbuchsee;3053;Deisswil bei Münchenbuchsee;BE
Deitingen;4543;Deitingen;SO
Delley;1567;Delley-Portalban;FR
Delémont;2800;Delémont;JU
Denens;1135;Denens;VD
Denezy;1410;Montanaire;VD
Denges;1026;Denges;VD
Densbüren;5026;Densbüren;AG
Derendingen;4552;Derendingen;SO
Detligen;3036;Radelfingen;BE
Dettighofen;8505;Pfyn;TG
Dettighofen (Lengwil);8574;Lengwil;TG
Develier;2802;Develier;JU
Dicken;9115;Neckertal;SG
Diegten;4457;Diegten;BL
Dielsdorf;8157;Dielsdorf;ZH
Diemerswil;3053;Diemerswil;BE
Diemtigen;3754;Diemtigen;BE
Diepflingen;4442;Diepflingen;BL
Diepoldsau;9444;Diepoldsau;SG
Dierikon;6036;Dierikon;LU
Diesbach GL;8777;Glarus Süd;GL
Diessbach b. Büren;3264;Diessbach bei Büren;BE
Diesse;2517;Plateau de Diesse;BE
Diessenhofen;8253;Diessenhofen;TG
Dieterswil;3256;Rapperswil (BE);BE
Dietfurt;9615;Bütschwil-Ganterschwil;SG
Dietikon;8953;Dietikon;ZH
Dietlikon;8305;Dietlikon;ZH
Dietschwil;9533;Kirchberg (SG);SG
Dietwil;6042;Dietwil;AG
Dinhard;8474;Dinhard;ZH
Dino;6967;Lugano;TI
Dintikon;5606;Dintikon;AG
Diolly (Savièse);1965;Savièse;VS
Disentis/Mustér;7180;Disentis/Mustér;GR
Dittingen;4243;Dittingen;BL
Dizy;1304;Dizy;VD
Domat/Ems;7013;Domat/Ems;GR
Dombresson;2056;Val-de-Ruz;NE
Domdidier;1564;Domdidier;FR
Dommartin;1041;Montilliez;VD
Dompierre FR;1563;Dompierre (FR);FR
Dompierre VD;1682;Dompierre (VD);VD
Donat;7433;Donat;GR
Donatyre;1580;Avenches;VD
Dongio;6715;Acquarossa;TI
Donneloye;1407;Donneloye;VD
Donzhausen;8583;Sulgen;TG
Doppleschwand;6112;Doppleschwand;LU
Dorf;8458;Dorf;ZH
Dornach;4143;Dornach;SO
Dorénaz;1905;Dorénaz;VS
Dotnacht;8566;Kemmental;TG
Dottikon;5605;Dottikon;AG
Dotzigen;3293;Dotzigen;BE
Dozwil;8582;Dozwil;TG
Dranse (Liddes);1945;Liddes;VS
Dreien;9612;Mosnang;SG
Drône (Savièse);1965;Savièse;VS
Duggingen;4202;Duggingen;BL
Dugny (Leytron);1912;Leytron;VS
Duillier;1266;Duillier;VD
Dulliken;4657;Dulliken;SO
Dully;1195;Dully;VD
Dussnang;8374;Fischingen;TG
Duvin;7112;Ilanz/Glion;GR
Dägerlen;8471;Dägerlen;ZH
Dällikon;8108;Dällikon;ZH
Däniken SO;4658;Däniken;SO
Dänikon ZH;8114;Dänikon;ZH
Därligen;3707;Därligen;BE
Därstetten;3763;Därstetten;BE
Dättlikon;8421;Dättlikon;ZH
Dättwil AG;5405;Baden;AG
Démoret;1415;Démoret;VD
Dörflingen;8239;Dörflingen;SH
Döttingen;5312;Döttingen;AG
Dübendorf;8600;Dübendorf;ZH
Düdingen;3186;Düdingen;FR
Dürnten;8635;Dürnten;ZH
Dürrenroth;3465;Dürrenroth;BE
Dürrenäsch;5724;Dürrenäsch;AG
Ebersecken;6245;Ebersecken;LU
Ebersol;9122;Neckertal;SG
Ebertswil;8925;Hausen am Albis;ZH
Ebikon;6030;Ebikon;LU
Ebmatingen;8123;Maur;ZH
Ebnat-Kappel;9642;Ebnat-Kappel;SG
Ebnet;6163;Entlebuch;LU
Echallens;1040;Echallens;VD
Echandens;1026;Echandens;VD
Echarlens;1646;Echarlens;FR
Echichens;1112;Echichens;VD
Eclagnens;1376;Goumoëns;VD
Eclépens;1312;Eclépens;VD
Ecoteaux;1612;Oron;VD
Ecublens FR;1673;Ecublens (FR);FR
Ecublens VD;1024;Ecublens (VD);VD
Ecuvillens;1730;Hauterive (FR);FR
Ederswiler;2813;Ederswiler;JU
Edlibach;6313;Menzingen;ZG
Effingen;5078;Effingen;AG
Effretikon;8307;Illnau-Effretikon;ZH
Egerkingen;4622;Egerkingen;SO
Egg (Flawil);9231;Flawil;SG
Egg SZ;8847;Einsiedeln;SZ
Egg b. Zürich;8132;Egg;ZH
Eggenwil;5445;Eggenwil;AG
Eggerberg;3939;Eggerberg;VS
Eggersriet;9034;Eggersriet;SG
Eggiwil;3537;Eggiwil;BE
Eglisau;8193;Eglisau;ZH
Egliswil;5704;Egliswil;AG
Egnach;9322;Egnach;TG
Egolzwil;6243;Egolzwil;LU
Ehrendingen;5420;Ehrendingen;AG
Eich;6205;Eich;LU
Eichberg;9453;Eichberg;SG
Eigenthal;6013;Schwarzenberg;LU
Eigergletscher;3823;Lauterbrunnen;BE
Eiken;5074;Eiken;AG
Einigen;3646;Spiez;BE
Einsiedeln;8840;Einsiedeln;SZ
Eischoll;3943;Eischoll;VS
Eison (St-Martin);1969;Saint-Martin (VS);VS
Eisten;3922;Eisten;VS
Elfingen;5077;Elfingen;AG
Elgg;8353;Elgg;ZH
Ellighausen;8566;Kemmental;TG
Ellikon am Rhein;8464;Marthalen;ZH
Ellikon an der Thur;8548;Ellikon an der Thur;ZH
Elm;8767;Glarus Süd;GL
Elsau;8352;Elsau;ZH
Embd;3926;Embd;VS
Embrach;8424;Embrach;ZH
Emdthal;3711;Aeschi bei Spiez;BE
Emmen;6032;Emmen;LU
Emmenbrücke;6020;Emmen;LU
Emmenmatt;3543;Lauperswil;BE
Emmetten;6376;Emmetten;NW
Endingen;5304;Endingen;AG
Engelberg;6390;Engelberg;OW
Engelburg;9032;Gaiserwald;SG
Enges;2073;Enges;NE
Enggistein;3077;Worb;BE
Engi;8765;Glarus Süd;GL
Engishofen;8586;Erlen;TG
Englisberg;3086;Wald (BE);BE
Engollon;2063;Val-de-Ruz;NE
Engwang;8556;Wigoltingen;TG
Engwilen;8564;Wäldi;TG
Ennenda;8755;Glarus;GL
Ennetaach;8586;Erlen;TG
Ennetbaden;5408;Ennetbaden;AG
Ennetbühl;9651;Nesslau;SG
Ennetbürgen;6373;Ennetbürgen;NW
Ennetmoos;6372;Ennetmoos;NW
Enney;1667;Bas-Intyamon;FR
Entlebuch;6162;Entlebuch;LU
Epagny;1663;Gruyères;FR
Epalinges;1066;Epalinges;VD
Epautheyres;1417;Essertines-sur-Yverdon;VD
Epauvillers;2885;Clos du Doubs;JU
Ependes FR;1731;Ependes (FR);FR
Ependes VD;1434;Ependes (VD);VD
Epesses;1098;Bourg-en-Lavaux;VD
Epiquerez;2886;Clos du Doubs;JU
Eppenberg;5012;Eppenberg-Wöschnau;SO
Epsach;3272;Epsach;BE
Eptingen;4458;Eptingen;BL
Erde;1976;Conthey;VS
Ergisch;3947;Ergisch;VS
Eriswil;4952;Eriswil;BE
Eriz;3619;Eriz;BE
Erlach;3235;Erlach;BE
Erlen;8586;Erlen;TG
Erlenbach ZH;8703;Erlenbach (ZH);ZH
Erlenbach im Simmental;3762;Erlenbach im Simmental;BE
Erlinsbach;5018;Erlinsbach (AG);AG
Erlinsbach SO;5015;Erlinsbach (SO);SO
Ermatingen;8272;Ermatingen;TG
Ermensee;6294;Ermensee;LU
Ermenswil;8734;Eschenbach (SG);SG
Ernen;3995;Ernen;VS
Ernetschwil;8725;Gommiswald;SG
Erschmatt;3957;Leuk;VS
Erschwil;4228;Erschwil;SO
Ersigen;3423;Ersigen;BE
Erstfeld;6472;Erstfeld;UR
Eschen;9492;Eschen;LI
Eschenbach LU;6274;Eschenbach (LU);LU
Eschenbach SG;8733;Eschenbach (SG);SG
Eschenz;8264;Eschenz;TG
Eschert;2743;Eschert;BE
Eschikofen;8553;Hüttlingen;TG
Eschlikon TG;8360;Eschlikon;TG
Escholzmatt;6182;Escholzmatt-Marbach;LU
Esmonts;1670;Ursy;FR
Essert FR;1724;Le Mouret;FR
Essert-Pittet;1435;Essert-Pittet;VD
Essert-sous-Champvent;1443;Champvent;VD
Essertes;1078;Essertes;VD
Essertines-sur-Rolle;1186;Essertines-sur-Rolle;VD
Essertines-sur-Yverdon;1417;Essertines-sur-Yverdon;VD
Esslingen;8133;Egg;ZH
Estavannens;1665;Bas-Intyamon;FR
Estavayer-le-Gibloux;1695;Le Glèbe;FR
Estavayer-le-Lac;1470;Estavayer-le-Lac;FR
Estévenens;1687;Vuisternens-devant-Romont;FR
Etagnières;1037;Etagnières;VD
Etoy;1163;Etoy;VD
Ettenhausen TG;8356;Aadorf;TG
Ettingen;4107;Ettingen;BL
Ettiswil;6218;Ettiswil;LU
Etzelkofen;3306;Fraubrunnen;BE
Etzgen;5275;Mettauertal;AG
Etziken;4554;Etziken;SO
Etzwilen;8259;Wagenhausen;TG
Euseigne;1982;Hérémence;VS
Euthal;8844;Einsiedeln;SZ
Evilard;2533;Evilard;BE
Evionnaz;1902;Evionnaz;VS
Evolène;1983;Evolène;VS
Eyholz;3930;Visp;VS
Eysins;1262;Eysins;VD
Fahrni b. Thun;3617;Fahrni;BE
Fahrwangen;5615;Fahrwangen;AG
Fahrweid;8951;Weiningen (ZH);ZH
Fahy;2916;Fahy;JU
Faido;6760;Faido;TI
Fajauna;7226;Schiers;GR
Falera;7153;Falera;GR
Fanas;7215;Grüsch;GR
Fankhaus (Trub);3557;Trub;BE
Faoug;1595;Faoug;VD
Farden;7433;Donat;GR
Farnern;4539;Farnern;BE
Farvagny;1726;Farvagny;FR
Farvagny-le-Petit;1726;Farvagny;FR
Faulensee;3705;Spiez;BE
Fehraltorf;8320;Fehraltorf;ZH
Fehren;4232;Fehren;SO
Felben-Wellhausen;8552;Felben-Wellhausen;TG
Feldbach;8714;Hombrechtikon;ZH
Feldbrunnen;4532;Feldbrunnen-St. Niklaus;SO
Feldis/Veulden;7404;Domleschg;GR
Felsberg;7012;Felsberg;GR
Fenalet-sur-Bex;1880;Bex;VD
Fenil-sur-Corsier;1809;Corsier-sur-Vevey;VD
Fenin;2063;Val-de-Ruz;NE
Fenkrieden;5645;Sins;AG
Ferden;3916;Ferden;VS
Ferenbalm;3206;Ferenbalm;BE
Ferlens VD;1076;Ferlens (VD);VD
Ferpicloz;1724;Ferpicloz;FR
Ferreyres;1313;Ferreyres;VD
Fescoggia;6938;Alto Malcantone;TI
Feuerthalen;8245;Feuerthalen;ZH
Feusisberg;8835;Feusisberg;SZ
Feutersoey;3784;Gsteig;BE
Fex;7514;Sils im Engadin/Segl;GR
Fey;1044;Fey;VD
Fey (Nendaz);1996;Nendaz;VS
Fiaugères;1609;Saint-Martin (FR);FR
Fiaugères;1609;Saint-Martin (FR);FR
Fidaz;7019;Flims;GR
Fideris;7235;Fideris;GR
Fiesch;3984;Bellwald;VS
Fiesch;3984;Fiesch;VS
Fieschertal;3984;Fieschertal;VS
Fiez;1420;Fiez;VD
Figino;6918;Lugano;TI
Filet;3983;Mörel-Filet;VS
Filisur;7477;Filisur;GR
Filzbach;8757;Glarus Nord;GL
Finhaut;1925;Finhaut;VS
Finsterhennen;2577;Finsterhennen;BE
Finstersee;6313;Menzingen;ZG
Finsterwald b. Entlebuch;6162;Entlebuch;LU
Fionnay;1948;Bagnes;VS
Fischbach LU;6145;Fischbach;LU
Fischbach-Göslikon;5525;Fischbach-Göslikon;AG
Fischenthal;8497;Fischenthal;ZH
Fischingen;8376;Fischingen;TG
Fisibach;5467;Fisibach;AG
Fislisbach;5442;Fislisbach;AG
Flaach;8416;Flaach;ZH
Flamatt;3175;Wünnewil-Flamatt;FR
Flanthey;3978;Lens;VS
Flawil;9230;Flawil;SG
Flendruz;1659;Rougemont;VD
Flerden;7426;Flerden;GR
Flerden;7426;Flerden;GR
Fleurier;2114;Val-de-Travers;NE
Flims Dorf;7017;Flims;GR
Flims Waldhaus;7018;Flims;GR
Flond;7137;Mundaun;GR
Flumenthal;4534;Flumenthal;SO
Flums;8890;Flums;SG
Flums Hochwiese;8893;Flums;SG
Flumserberg Bergheim;8896;Flums;SG
Flumserberg Portels;8895;Flums;SG
Flumserberg Saxli;8894;Flums;SG
Flumserberg Tannenbodenalp;8898;Flums;SG
Flumserberg Tannenheim;8897;Flums;SG
Flurlingen;8247;Flurlingen;ZH
Fläsch;7306;Fläsch;GR
Flüelen;6454;Flüelen;UR
Flüeli-Ranft;6073;Sachseln;OW
Flüh;4112;Hofstetten-Flüh;SO
Flühli LU;6173;Flühli;LU
Font;1473;Estavayer-le-Lac;FR
Fontaine Dessous (Liddes);1945;Liddes;VS
Fontaine Dessus (Liddes);1945;Liddes;VS
Fontainemelon;2052;Val-de-Ruz;NE
Fontaines NE;2046;Val-de-Ruz;NE
Fontaines-sur-Grandson;1421;Fontaines-sur-Grandson;VD
Fontanezier;1423;Tévenon;VD
Fontannen b. Wolhusen;6110;Wolhusen;LU
Fontenais;2902;Fontenais;JU
Fontnas;9476;Wartau;SG
Forch;8127;Küsnacht (ZH);ZH
Forel (Lavaux);1072;Forel (Lavaux);VD
Forel FR;1475;Vernay;FR
Forel-sur-Lucens;1526;Forel-sur-Lucens;VD
Formangueires;1782;La Sonnaz;FR
Fornet-Dessous;2717;Petit-Val;BE
Fornet-Dessus;2718;Lajoux (JU);JU
Fornex (Liddes);1945;Liddes;VS
Forst b. Längenbühl;3636;Forst-Längenbühl;BE
Fortunau (Ayent);1966;Ayent;VS
Founex;1297;Founex;VD
Frasco;6636;Frasco;TI
Frasnacht;9320;Arbon;TG
Frasses;1483;Les Montets;FR
Fraubrunnen;3312;Fraubrunnen;BE
Frauenfeld;8500;Frauenfeld;TG
Frauenkappelen;3202;Frauenkappelen;BE
Fregiécourt;2953;La Baroche;JU
Freidorf TG;9306;Roggwil (TG);TG
Freienbach;8807;Freienbach;SZ
Freienstein;8427;Freienstein-Teufen;ZH
Freienwil;5423;Freienwil;AG
Freimettigen;3510;Freimettigen;BE
Frenières-sur-Bex;1880;Bex;VD
Frenkendorf;4402;Frenkendorf;BL
Fresens;2027;Fresens;NE
Fretereules;2149;Brot-Dessous;NE
Freudwil;8615;Uster;ZH
Fribourg;1700;Fribourg;FR
Frick;5070;Frick;AG
Frieswil;3035;Seedorf (BE);BE
Friltschen;9504;Bussnang;TG
Frinvillier;2535;Sauge;BE
Froideville;1055;Froideville;VD
Fruthwilen;8269;Salenstein;TG
Frutigen;3714;Frutigen;BE
Fräschels;3284;Fräschels;FR
Frümsen;9467;Sennwald;SG
Ftan;7551;Scuol;GR
Fuldera;7533;Val Müstair;GR
Fulenbach;4629;Fulenbach;SO
Full-Reuenthal;5324;Full-Reuenthal;AG
Fully;1926;Fully;VS
Furna;7232;Furna;GR
Fusio;6696;Lavizzara;TI
Fällanden;8117;Fällanden;ZH
Féchy;1173;Féchy;VD
Fétigny;1532;Fétigny;FR
Füllinsdorf;4414;Füllinsdorf;BL
Fürigen;6363;Stansstad;NW
Fürstenau;7414;Fürstenau;GR
Fürstenaubruck;7413;Fürstenau;GR
Gabi (Simplon);3907;Simplon;VS
Gachnang;8547;Gachnang;TG
Gadenstätt;7244;Luzein;GR
Gadmen;3863;Innertkirchen;BE
Gais;9056;Gais;AR
Galgenen;8854;Galgenen;SZ
Galmiz;3285;Galmiz;FR
Gals;3238;Gals;BE
Gammen;3206;Ferenbalm;BE
Gampel;3945;Gampel-Bratsch;VS
Gampelen;3236;Gampelen;BE
Gamprin-Bendern;9487;Gamprin;LI
Gams;9473;Gams;SG
Gamsen;3900;Brig-Glis;VS
Gandria;6978;Lugano;TI
Gansingen;5272;Gansingen;AG
Ganterschwil;9608;Bütschwil-Ganterschwil;SG
Gasel;3144;Köniz;BE
Gattikon;8136;Thalwil;ZH
Gebenstorf;5412;Gebenstorf;AG
Gebertingen;8725;Gommiswald;SG
Geiss;6123;Menznau;LU
Gelfingen;6284;Hitzkirch;LU
Gelterfingen;3126;Gelterfingen;BE
Gelterkinden;4460;Gelterkinden;BL
Geltwil;5637;Geltwil;AG
Gempen;4145;Gempen;SO
Gempenach;3215;Gempenach;FR
Genestrerio;6852;Mendrisio;TI
Genolier;1272;Genolier;VD
Genthod;1294;Genthod;GE
Gentilino;6925;Collina d'Oro;TI
Genève;1202;Genève;GE
Genève;1204;Genève;GE
Genève;1207;Genève;GE
Genève;1206;Genève;GE
Genève;1208;Genève;GE
Genève;1205;Genève;GE
Genève;1201;Genève;GE
Genève;1203;Genève;GE
Genève;1209;Genève;GE
Genève;1215;Le Grand-Saconnex;GE
Gerlafingen;4563;Gerlafingen;SO
Gerlikon;8500;Frauenfeld;TG
Geroldswil;8954;Geroldswil;ZH
Gerolfingen;2575;Täuffelen;BE
Gerra (Gambarogno);6576;Gambarogno;TI
Gerra (Verzasca);6635;Cugnasco-Gerra;TI
Gersau;6442;Gersau;SZ
Gerzensee;3115;Gerzensee;BE
Geschinen;3985;Münster-Geschinen;VS
Gettnau;6142;Gettnau;LU
Geuensee;6232;Geuensee;LU
Ghirone;6720;Blenio;TI
Gibswil;8498;Fischenthal;ZH
Giebenach;4304;Giebenach;BL
Giez;1429;Giez;VD
Giffers;1735;Giffers;FR
Gillarens;1673;Rue;FR
Gilly;1182;Gilly;VD
Gimel;1188;Gimel;VD
Gimmelwald;3826;Lauterbrunnen;BE
Gingins;1276;Gingins;VD
Giornico;6745;Giornico;TI
Gipf-Oberfrick;5073;Gipf-Oberfrick;AG
Gisikon;6038;Gisikon;LU
Giswil;6074;Giswil;OW
Giubiasco;6512;Giubiasco;TI
Giumaglio;6678;Maggia;TI
Givisiez;1762;Givisiez;FR
Givrins;1271;Givrins;VD
Gland;1196;Gland;VD
Glarus;8750;Glarus;GL
Glashütten;4856;Murgenthal;AG
Glaspass;7428;Tschappina;GR
Glattbrugg;8152;Opfikon;ZH
Glattfelden;8192;Glattfelden;ZH
Glattpark (Opfikon);8152;Opfikon;ZH
Gletterens;1544;Gletterens;FR
Glion;1823;Montreux;VD
Glis;3902;Brig-Glis;VS
Glovelier;2855;Haute-Sorne;JU
Gluringen;3998;Reckingen-Gluringen;VS
Gnosca;6525;Gnosca;TI
Gockhausen;8044;Dübendorf;ZH
Gohl;3553;Langnau im Emmental;BE
Golaten;3207;Golaten;BE
Goldach;9403;Goldach;SG
Goldau;6410;Arth;SZ
Goldingen;8638;Eschenbach (SG);SG
Goldiwil (Thun);3624;Thun;BE
Goldswil b. Interlaken;3805;Ringgenberg (BE);BE
Golino;6656;Centovalli;TI
Gollion;1124;Gollion;VD
Gommiswald;8737;Gommiswald;SG
Gommiswald;8737;Gommiswald;SG
Gondiswil;4955;Gondiswil;BE
Gondo;3907;Zwischbergen;VS
Gonten;9108;Gonten;AI
Gontenbad;9108;Gonten;AI
Gontenschwil;5728;Gontenschwil;AG
Goppenstein;3917;Ferden;VS
Goppisberg;3983;Riederalp;VS
Gordevio;6672;Avegno Gordevio;TI
Gordola;6596;Gordola;TI
Gorduno;6518;Gorduno;TI
Gorgier;2023;Gorgier;NE
Gossau SG;9200;Gossau (SG);SG
Gossau ZH;8625;Gossau (ZH);ZH
Gossens;1407;Donneloye;VD
Gossliwil;4579;Buchegg;SO
Gottlieben;8274;Gottlieben;TG
Goumoens-la-Ville;1376;Goumoëns;VD
Goumoens-le-Jux;1376;Goumoëns;VD
Goumois;2354;Saignelégier;JU
Graben;3376;Graben;BE
Grabs;9472;Grabs;SG
Grabserberg;9472;Grabs;SG
Grafenort;6388;Engelberg;OW
Grafenried;3308;Fraubrunnen;BE
